name;full_name;birth_date;age;height_cm;weight_kgs;positions;nationality;overall_rating;value_euro;wage_euro;preferred_foot;national_team;team_position;national_numb
A. Nahuelpan;Ariel Gerardo Nahuelpán Osten;10/15/1987;37;190.5;92.1;ST;Argentina;71;2300000;15000;Left;;;
M. Thorsby;Morten Thorsby;5/5/1996;28;185.42;72.1;CM,CAM;Norway;71;3200000;6000;Right;;;
T. Knipping;Tim Knipping;11/24/1992;32;187.96;82.1;CB;Germany;71;2500000;5000;Left;;;
J. Paintsil;Joseph Paintsil;2/1/1998;27;167.64;68;LW,RW,CAM;Ghana;71;3700000;9000;Right;;;
E. Cecchini;Emanuel Cecchini;12/24/1996;28;152.4;78;CDM,CM;Argentina;71;3200000;5000;Right;;;
M. Morishige;__ __;5/21/1987;37;182.88;76.2;CB;Japan;71;1600000;7000;Right;;;
J. Correa;Jorge Correa;4/4/1993;31;170.18;69.9;CAM,RM,LM;Argentina;71;2900000;7000;Left;;;
A. Cordaz;Alex Cordaz;1/1/1983;42;187.96;83;GK;Italy;71;550000;2000;Right;;;
O. Deschacht;Olivier Deschacht;2/16/1981;44;182.88;81.2;CB,LB;Belgium;71;325000;6000;Left;;;
S. Gashi;Shkëlzen Taib Gashi;7/15/1988;36;182.88;74.8;ST,CAM,RM,LM;Albania;71;2400000;7000;Left;;;
N. Fernández;Nicolás Fernández;2/8/1996;29;165.1;66.2;ST,LW;Argentina;71;3500000;9000;Right;;;
S. Aydo_du;Soner Aydo_du;1/5/1991;34;154.94;72.1;CM,CDM,CAM;Turkey;71;2400000;16000;Left;;;
Jordi Calavera;Jordi Calavera Espinach;8/2/1995;29;182.88;73.9;RB;Spain;71;2700000;11000;Right;;;
Sergio Herrera;Sergio Herrera Pirón;6/6/1993;31;193.04;79.8;GK;Spain;71;2000000;5000;Right;;;
R. Gagliolo;Riccardo Gagliolo;4/28/1990;34;154.94;74.8;CB,LB;Italy;71;1900000;24000;Left;;;
R. Schüller;Rasmus Schüller;6/18/1991;33;152.4;67.1;CDM,CM,LM;Finland;71;2300000;5000;Left;Finland;SUB;11
J. Murphy;Josh Murphy;2/24/1995;30;172.72;67.1;LM,ST;England;71;3200000;24000;Right;;;
M. Pektemek;Mustafa Pektemek;8/11/1988;36;182.88;72.1;CF,ST;Turkey;71;2400000;31000;Right;;;
O. Skúlason;Ólafur Ingi Skúlason;4/1/1983;41;182.88;81.2;CDM;Iceland;71;;;Right;;;
S. __epovi_;Stefan __epovi_;1/10/1990;35;187.96;76.2;ST;Serbia;71;2400000;8000;Right;;;
Z. Stieber;Zoltán Stieber;10/16/1988;36;175.26;67.1;RM,LM;Hungary;71;2300000;6000;Left;;;
Allison Sireo;Allison Alan Sireo Milazar;2/29/1988;37;193.04;84.8;CB;Brazil;71;1800000;10000;Right;;;
Sivera;Antonio Sivera Salvá;8/11/1996;28;182.88;74.8;GK;Spain;71;2500000;7000;Right;;;
A. Trondsen;Anders Trondsen;3/30/1995;29;182.88;78;CM;Norway;71;3600000;5000;Left;;;
J. Botaka;Jordan Rolly Botaka;6/24/1993;31;182.88;81.2;RM,LM,RWB,RB;DR Congo;71;2900000;8000;Right;;;
Cafú;Carlos Miguel Ribeiro Dias;2/26/1993;32;182.88;83.9;CDM,CM;Portugal;72;3200000;6000;Right;;;
C. Mavinga;Chris Mavinga;5/26/1991;33;185.42;78;CB,LB;DR Congo;72;2900000;6000;Left;;;
Vágner Corraldo;Vágner Joshua Corraldo Santoso;2/29/1988;37;175.26;69.9;LB;Brazil;72;2200000;10000;Left;;;
C. Menéndez;Cristian Menéndez;4/2/1988;36;185.42;79.8;ST;Argentina;72;3000000;8000;Right;;;
L. Immers;Lex Immers;6/8/1986;38;187.96;78;CM;Netherlands;72;2400000;8000;Right;;;
Elustondo;Gorka Elustondo Urkola;3/18/1987;37;182.88;78.9;CM,CB,CDM;Spain;72;2700000;14000;Right;;;
Y. Cahuzac;Yannick Cahuzac;1/18/1985;40;152.4;69.9;CDM,CM;France;72;1300000;18000;Right;;;
L. Ariaudo;Lorenzo Ariaudo;6/11/1989;35;185.42;78.9;CB;Italy;72;2400000;12000;Left;;;
K. Molino;Kevin Molino;6/17/1990;34;172.72;69.9;CAM,RM,LM;Trinidad & Tobago;72;3100000;7000;Right;;;
M. Cauteruccio;Martín Cauteruccio;4/14/1987;37;154.94;76.2;ST,RM;Uruguay;72;2800000;20000;Right;;;
S. Byram;Sam Byram;9/16/1993;31;182.88;72.1;RB,RM;England;72;3300000;37000;Right;;;
Sergio Sánchez;Sergio Sánchez Ortega;4/3/1986;38;185.42;78;CB,RB;Spain;72;1800000;7000;Right;;;
N. Domínguez;Nicolás Domínguez;6/28/1998;26;152.4;73;CM,CDM;Argentina;72;5500000;8000;Right;;;
R. Elliot;Rob Elliot;4/30/1986;38;190.5;93.9;GK;Republic of Ireland;72;1800000;23000;Left;;;
T. Carroll;Tom Carroll;5/28/1992;32;152.4;66.2;CM;England;72;3700000;21000;Left;;;
L. Rosi_;Lazar Rosi_;6/29/1993;31;190.5;82.1;CB;Serbia;72;3400000;9000;Right;;;
D. Villalpando;Dieter Daniel Villalpando Pérez;8/4/1991;33;172.72;67.1;CM,CAM;Mexico;72;3600000;26000;Right;;;
W. Ángel;Wilker José Ángel Romero;3/18/1993;31;187.96;83.9;CB;Venezuela;72;;;Right;;;
S. Martinsson Ngouali;Serge-Junior Martinsson Ngouali;1/23/1992;33;175.26;74.8;CM;Gabon;72;3600000;5000;Right;;;
R. Woods;Ryan Woods;12/13/1993;31;172.72;69.9;CDM,CM;England;72;3500000;23000;Right;;;
Jorge Teixeira;Jorge Filipe Avelino Teixeira;8/27/1986;38;187.96;88.9;CB;Portugal;72;2100000;9000;Right;;;
M. Higashiguchi;__ __;5/12/1986;38;182.88;78;GK;Japan;72;1800000;7000;Right;;;
A. Esiti;Anderson Esiti;5/24/1994;30;182.88;88;CDM,CM;Nigeria;72;3500000;12000;Right;;;
Y. Mollo;Yohan Mollo;7/18/1989;35;175.26;78.9;LM,ST;France;72;3100000;7000;Right;;;
M. Djenepo;Moussa Djenepo;6/15/1998;26;152.4;64.9;LM,RM,CAM;Mali;72;5500000;9000;Right;;;
Gelson Dala;Jacinto Muondo Dala;7/13/1996;28;175.26;64.9;ST,CAM,RW,LW;Angola;72;5000000;8000;Right;;;
Cristian Herrera;Cristian Ignacio Herrera Pérez;3/13/1991;33;187.96;84.8;ST,LM,CAM;Spain;72;3600000;8000;Left;;;
Djalma;Djalma Braume Manuel Abel Campos;5/30/1987;37;152.4;78;RM,LM;Angola;72;2700000;11000;Right;;;
C. Fai;Ngoran Suiru Fai Collins;8/13/1992;32;167.64;72.1;RB,LB;Cameroon;72;3100000;10000;Right;Cameroon;LB;2
A. Tettey;Alexander Banor Tettey;4/4/1986;38;154.94;68;CDM;Norway;72;1800000;19000;Right;;;
S. Di Carmine;Samuel Di Carmine;9/29/1988;36;187.96;78;ST;Italy;72;3100000;4000;Right;;;
C. Mulgrew;Charlie Mulgrew;3/6/1986;39;190.5;83;CB;Scotland;72;1800000;27000;Left;Scotland;SUB;13
Nuno Coelho;Nuno Miguel Prata Coelho;11/23/1987;37;182.88;76.2;CDM,CB;Portugal;72;2300000;5000;Right;;;
L. Ceppitelli;Luca Ceppitelli;8/11/1989;35;187.96;83;CB;Italy;72;2500000;21000;Right;;;
Fábio;Fábio Pereira da Silva;7/9/1990;34;172.72;64.9;LB,RB;Brazil;72;2600000;16000;Right;;;
A. Williams;Ashley Williams;8/23/1984;40;182.88;77.1;CB;Wales;72;1300000;50000;Right;Wales;RCB;6
I. Ávila;Írven Ávila;7/2/1990;34;167.64;68;ST;Peru;72;3300000;9000;Right;;;
A. Murgia;Alessandro Murgia;8/9/1996;28;185.42;78;CM,CDM;Italy;72;4200000;22000;Right;;;
S. Uçan;Salih Uçan;1/6/1994;31;182.88;64.9;CM,CAM;Turkey;72;4100000;35000;Right;;;
R. Gudiño;Raúl Gudiño;4/22/1996;28;195.58;83.9;GK;Mexico;72;3200000;16000;Right;;;
J. Russell;Johnny Russell;4/8/1990;34;152.4;76.2;RW,LW,LM;Scotland;72;3100000;7000;Left;Scotland;SUB;20
S. Hutchinson;Sam  Hutchinson;8/3/1989;35;182.88;73;CDM,CM,CB;England;72;2500000;20000;Right;;;
T. Ben Haim;Tal Ben Haim;8/5/1989;35;154.94;74.8;LM;Israel;72;3100000;1000;Right;;;
M. Rybus;Maciej Rybus;8/19/1989;35;172.72;74.8;LB,LM;Poland;72;2500000;1000;Left;;;
N. Jelavi_;Nikica Jelavi_;8/27/1985;39;187.96;88;ST;Croatia;72;2500000;13000;Right;;;
A. Ramos;Gustavo Adrián Ramos Vásquez;1/22/1986;39;185.42;78;ST;Colombia;72;2500000;8000;Right;;;
Y. Namli;Younes Namli;6/20/1994;30;154.94;63;RM;Denmark;72;3900000;7000;Left;;;
L. Haraslín;Luká_ Haraslín;5/26/1996;28;182.88;71.2;LM,RM;Slovakia;72;4600000;6000;Left;;;
Y. Gouffran;Yoan Gouffran;5/25/1986;38;175.26;76.2;LM,RM;France;72;2400000;18000;Right;;;
J. Gómez;José Luis Gómez;9/10/1993;31;172.72;63;RB;Argentina;72;3500000;11000;Right;;;
Sin Jin Ho;___ ___;9/7/1988;36;152.4;72.1;CM;Korea Republic;72;3000000;7000;Right;;;
R. Kishna;Ricardo Kishna;1/4/1995;30;182.88;77.1;LW;Netherlands;72;4100000;29000;Left;;;
O. Alderete;Omar Federico Alderete Fernández;12/26/1996;28;187.96;77.1;CB;Paraguay;72;4400000;8000;Left;;;
M. Pisano;Matías Pisano;12/13/1991;33;165.1;60.8;RW,CAM,RM,CF;Argentina;72;3300000;10000;Left;;;
C. Jullien;Christopher Jullien;3/22/1993;31;195.58;88;CB;France;72;3400000;17000;Right;;;
S. Lletget;Sebastian  Lletget;9/3/1992;32;152.4;74.8;CAM,CM,LM,RM;United States;72;3800000;6000;Right;United States;SUB;15
C. Trimmel;Christopher Trimmel;2/24/1987;38;187.96;81.2;RB;Austria;72;2000000;20000;Right;;;
M. Leye;M'Baye Leye;12/1/1982;42;182.88;74.8;ST,RW;Senegal;72;1400000;8000;Right;;;
Edu Expósito;Eduardo Expósito Jaén;8/1/1996;28;152.4;67.1;CM,CAM;Spain;72;5500000;6000;Right;;;
Xavier;António Manuel Pereira Xavier;7/6/1992;32;175.26;66.2;LM,RM;Portugal;72;3700000;5000;Left;;;
J. Gutiérrez;Jonás Manuel Gutiérrez;7/5/1983;41;182.88;83;CM,LM,RB,RM;Argentina;72;1500000;10000;Right;;;
Feng Xiaoting;___;10/22/1985;39;187.96;78;CB;China PR;72;1800000;12000;Right;;;
K. Galanopoulos;Konstantinos Galanopoulos;12/28/1997;27;172.72;72.1;CDM,CM;Greece;72;4900000;1000;Right;;;
A. Sørloth;Alexander Sørloth;12/5/1995;29;193.04;89.8;ST,LW,RW;Norway;72;4400000;33000;Left;Norway;SUB;21
J. Wiland;Johan Wiland;1/24/1981;44;187.96;78;GK;Sweden;72;210000;3000;Right;;;
R. Delgado;Rafael Delgado;1/13/1990;35;175.26;78;LB;Argentina;72;2500000;10000;Left;;;
C. Nhamoinesu;Costa Nhamoinesu;1/6/1986;39;185.42;78;CB,LB;Zimbabwe;72;1800000;1000;Left;;;
P. Olayinka;Peter Oladeji Olayinka;11/16/1995;29;187.96;77.1;LM,ST,RM;Nigeria;72;4400000;1000;Right;;;
Vigaray;Carlos Martín Vigaray;9/7/1994;30;182.88;69.9;RB,RWB;Spain;72;3600000;13000;Right;;;
I. Runje;Ivan Runje;10/9/1990;34;193.04;83;CB;Croatia;72;2900000;7000;Right;;;
Fernando Canesín;Fernando Canesín Matos;2/27/1992;33;175.26;72.1;CAM,RM,CF;Brazil;72;3700000;12000;Right;;;
Sergi Palencia;Sergi Palencia Hurtado;3/23/1996;28;167.64;67.1;RB;Spain;72;3900000;61000;Right;;;
Oier;Oier Sanjurjo Maté;5/25/1986;38;152.4;72.1;CDM,CB;Spain;72;1800000;7000;Right;;;
Fran Mérida;Francisco Mérida Pérez;3/4/1990;35;152.4;73.9;CDM,CM;Spain;72;2800000;8000;Left;;;
J. Cristaldo;Jonatan Cristaldo;3/5/1989;36;175.26;73;ST;Argentina;72;3100000;17000;Right;;;
Simao Mate;Simão Mate Júnior;7/23/1988;36;152.4;76.2;CDM,CB;Mozambique;72;2400000;5000;Right;;;
N. Baker;Nathan Baker;4/23/1991;33;187.96;82.1;CB;England;72;2900000;27000;Left;;;
J. Savarino;Jefferson Savarino;11/11/1996;28;170.18;66.2;RW,CAM;Venezuela;72;5000000;5000;Right;Venezuela;SUB;10
Danilo;Danilo Teodoro Soares;10/29/1991;33;170.18;72.1;LB,LWB;Brazil;72;3000000;13000;Left;;;
J. Ikoko;Jordan Ikoko;2/3/1994;31;152.4;76.2;RB;DR Congo;72;3500000;13000;Right;;;
M. Trotta;Marcello Trotta;9/29/1992;32;187.96;84.8;ST,RW;Italy;72;3800000;13000;Left;;;
B. Linssen;Bryan Linssen;10/8/1990;34;170.18;64;LW;Netherlands;72;3300000;12000;Right;;;
A. Cerci;Alessio Cerci;7/23/1987;37;154.94;78;RW,ST;Italy;72;2900000;17000;Left;;;
O. Etebo;Oghenekaro Etebo;11/9/1995;29;175.26;69.9;CM,CDM,LM;Nigeria;72;4700000;26000;Right;;;
K. Acosta;Kellyn Acosta;7/24/1995;29;152.4;68;CM,CDM;United States;72;4500000;6000;Right;;;
N. Höfler;Nicolas Höfler;3/9/1990;34;154.94;78;CDM,CM;Germany;72;2500000;17000;Right;;;
Ontiveros;Javier Ontiveros Parra;9/9/1997;27;170.18;74.8;RM,LM,CAM;Spain;72;4600000;6000;Right;;;
Ronaldo Vieira;Ronaldo Vieira Nan;7/19/1998;26;152.4;69.9;CDM,CM;England;72;4000000;9000;Right;;;
C. Knasmüllner;Christoph Knasmüllner;4/30/1992;32;154.94;69.9;CAM,CM;Austria;72;3900000;14000;Right;;;
G. Lajud;Manuel Gibran Lajud Bojalil;12/25/1993;31;154.94;79.8;GK;Mexico;72;2900000;10000;Right;;;
I. Gómez;Iván Gómez;2/28/1997;28;167.64;59.9;CDM,CM;Argentina;72;4700000;8000;Right;;;
Andrei Girotto;Andrei Girotto;2/17/1992;33;185.42;78.9;CDM,CM;Brazil;72;3100000;16000;Right;;;
C. Arboleda;Carlos Mario Arboleda Ampudia;6/8/1986;38;170.18;59.9;RB,RM;Colombia;72;1700000;4000;Right;;;
J. Cabot;Jimmy Cabot;4/18/1994;30;165.1;64;RM,RW;France;72;4300000;6000;Right;;;
C. Basham;Chris Basham;7/20/1988;36;190.5;79.8;CB;England;72;2400000;10000;Right;;;
R. Bobadilla;Raúl Bobadilla;6/18/1987;37;152.4;91.2;ST;Paraguay;72;2800000;11000;Right;;;
F. Nita;Florin Constantin Ni__;7/3/1987;37;182.88;73;GK;Romania;72;2000000;1000;Right;Romania;SUB;16
M. Camara;Mohamed Mady Camara;2/28/1997;28;154.94;81.2;CDM,CM;Guinea;72;4400000;1000;Right;;;
M. Guendouzi;Mattéo Guendouzi;4/14/1999;25;185.42;68;CM,CDM;France;72;6000000;28000;Right;;;
P. Stenzel;Pascal Stenzel;3/20/1996;28;182.88;73.9;RB,RWB;Germany;72;3500000;14000;Right;;;
Z. Vanheusden;Zinho Vanheusden;7/29/1999;25;185.42;82.1;CB;Belgium;72;6000000;15000;Right;;;
S. Juklerød;Simen  Kristiansen Juklerød;5/18/1994;30;187.96;79.8;LB,RM,LM;Norway;72;3500000;8000;Left;;;
K. Onisiwo;Karim Onisiwo;3/17/1992;32;187.96;84.8;RM,RW,ST;Austria;72;3700000;19000;Right;;;
Tiago;Tiago Pagnussat;6/17/1990;34;190.5;88.9;CB;Brazil;72;2500000;10000;Right;;;
G. Mancini;Gianluca Mancini;4/17/1996;28;190.5;77.1;CB;Italy;72;4200000;15000;Right;;;
H. Kiyotake;__ __;11/12/1989;35;172.72;66.2;RM,CAM;Japan;72;3100000;7000;Right;;;
Maycon;Maycon de Andrade Barberan;7/13/1997;27;172.72;71.2;CM,CDM;Brazil;72;5500000;1000;Left;;;
S. Benrahma;Saïd Benrahma;8/10/1995;29;172.72;67.1;LW,RW,RM;Algeria;72;4300000;29000;Right;;;
R. Holzhauser;Raphael Holzhauser;2/16/1993;32;193.04;83.9;CDM,CM;Austria;72;3400000;10000;Left;;;
A. Al Habsi;Ali Abdullah Harib Al Habsi;12/30/1981;43;193.04;93;GK;Oman;72;425000;12000;Right;;;
J. Hamad;Jiloan Hamad;11/6/1990;34;172.72;72.1;LM;Sweden;72;3300000;5000;Right;;;
V. Salazar;Víctor Salazar;5/26/1993;31;175.26;67.1;RB,RWB;Argentina;72;3400000;13000;Right;;;
M. Oikonomou;Marios Oikonomou;10/6/1992;32;187.96;84.8;CB;Greece;72;3400000;1000;Right;;;
T. Zengin;Tolga Zengin;10/10/1983;41;193.04;89.8;GK;Turkey;72;1300000;23000;Right;;;
Nuno da Costa;Nuno Miguel da Costa Jóia;2/10/1991;34;182.88;69.9;ST,RW;Cape Verde;72;3300000;15000;Right;;;
W. Kanon;Serge Wilfried Kanon;7/6/1993;31;187.96;84.8;CB;Ivory Coast;72;3300000;6000;Left;;;
Camacho;João Pedro Gomes Camacho;6/23/1994;30;170.18;74.8;RW,LW;Portugal;72;4300000;9000;Right;;;
J. Schieber;Julian Schieber;2/13/1989;36;185.42;83;ST;Germany;72;3100000;20000;Left;;;
M. Sau;Marco Sau;11/3/1987;37;170.18;64.9;ST;Italy;72;3000000;25000;Right;;;
A. Struna;Alja_ Struna;8/4/1990;34;190.5;86.2;CB,RB;Slovenia;72;2900000;6000;Right;Slovenia;RCB;23
Thiago Cionek;Thiago Rangel Cionek;4/21/1986;38;182.88;79.8;CB;Poland;72;1800000;10000;Right;;;
J. Hugill;Jordan Hugill;6/4/1992;32;182.88;84.8;ST;England;72;3900000;51000;Right;;;
M. Rodríguez;Martín Vladimir Rodríguez Torrejón;8/5/1994;30;170.18;68;LM,LW;Chile;72;4100000;14000;Right;;;
P. Da Silva;Paulo César Da Silva Barrios;2/1/1980;45;154.94;76.2;CB;Paraguay;72;;;Right;;;
Jandrei;Jandrei Chitolina Carniel;3/1/1993;32;185.42;76.2;GK;Brazil;72;3000000;9000;Right;;;
Jonas Damasto;Jonas Welson Damasto Orsi;2/29/1984;41;152.4;68.9;LB;Brazil;72;875000;14000;Left;;;
P. Bardsley;Phil Bardsley;6/28/1985;39;154.94;78.9;RB;Scotland;72;1200000;32000;Right;;;
L. Reyes;Lorenzo Enrique Reyes Vicencio;6/13/1991;33;175.26;74.8;CM,CDM;Chile;72;3500000;16000;Right;Club Atlas;CDM;21
Álex Pérez;Alejandro Pérez Navarro;8/11/1991;33;190.5;83.9;CB;Spain;72;3100000;7000;Right;;;
L. Benito;Loris Benito;1/7/1992;33;185.42;84.8;LB;Switzerland;72;3000000;15000;Left;;;
M. Diaby;Moussa Diaby;7/7/1999;25;170.18;64.9;RW,LW,LM;France;72;5500000;25000;Left;;;
N. Kebano;Neeskens Kebano;3/10/1992;32;170.18;64.9;LW,LM,CAM;DR Congo;72;3300000;39000;Right;;;
A. Abdennour;Aymen Abdennour;8/6/1989;35;187.96;83.9;CB;Tunisia;72;2500000;21000;Left;;;
B. Kamara;Boubacar Kamara;11/23/1999;25;152.4;68;CB,CDM;France;72;6000000;11000;Right;;;
R. Sallai;Roland Sallai;5/22/1997;27;182.88;77.1;LM;Hungary;72;4600000;13000;Right;Hungary;LW;20
Ayrton;Ayrton Lucas Dantas de Medeiros;6/19/1997;27;154.94;72.1;LB;Brazil;72;4700000;1000;Left;;;
B. Perlaza;Baldomero Perlaza Perlaza;6/5/1992;32;187.96;83;CDM,CM;Colombia;72;3200000;4000;Right;;;
Marcão;Marcos Nascimento Teixeira;6/5/1996;28;185.42;81.2;CB;Brazil;72;3600000;28000;Left;;;
B. Kamara;Bingourou Kamara;10/21/1996;28;193.04;83.9;GK;France;72;3100000;7000;Right;;;
M. Mavraj;Mërgim Mavraj;6/9/1986;38;187.96;83.9;CB;Albania;72;1800000;17000;Left;;;
A. Leya Iseka;Aaron Leya Iseka;11/15/1997;27;182.88;82.1;ST;Belgium;72;4500000;16000;Right;;;
J. Pollersbeck;Julian Pollersbeck;8/16/1994;30;195.58;87.1;GK;Germany;72;3200000;7000;Right;;;
Y. Ayhan;Yalçın Ayhan;5/1/1982;42;193.04;82.1;CB;Turkey;72;425000;10000;Right;;;
K. Narey;Khaled Narey;7/23/1994;30;154.94;74.8;RM,LM,RWB;Germany;72;3900000;10000;Right;;;
S. Bastien;Samuel Bastien;9/26/1996;28;175.26;73;CM,CAM;Belgium;72;4300000;9000;Right;;;
A. Brignoli;Alberto Brignoli;8/19/1991;33;187.96;73.9;GK;Italy;72;2600000;3000;Left;;;
C. Robinson;Callum Robinson;2/2/1995;30;152.4;74.8;LM,ST;Republic of Ireland;72;4300000;10000;Right;Republic of Ireland;SUB;14
J. Risdon;Josh Risdon;7/27/1992;32;167.64;69.9;RB;Australia;72;3200000;7000;Right;Western Sydney Wanderers;RES;4
Y. Makarenko;Yevhen Makarenko;5/21/1991;33;182.88;83.9;CDM,LB,CM;Ukraine;72;3000000;13000;Left;;;
Aythami Artiles;Aythami Artiles Oliva;4/2/1986;38;182.88;78;CB;Spain;72;1800000;8000;Right;;;
C. Riaño;Claudio Riaño;8/4/1988;36;152.4;74.8;ST;Argentina;72;3100000;14000;Right;;;
J. Morávek;Jan Morávek;11/1/1989;35;154.94;77.1;CM,CAM;Czech Republic;72;3100000;18000;Right;;;
G. Masouras;Giorgios Masouras;1/1/1994;31;182.88;76.2;RM,LM,CAM;Greece;72;3900000;1000;Right;;;
Allano;Allano Brendon de Souza Lima;4/24/1995;29;182.88;73;RW,RM;Brazil;72;4600000;13000;Left;;;
C. Falletti;César Falletti;12/2/1992;32;170.18;64.9;CAM,RW,CF;Uruguay;72;3900000;21000;Right;;;
T. Al Jassam;Taisir Jabir Al Jassim;7/25/1984;40;170.18;68.9;CM,CDM,CAM;Saudi Arabia;72;1800000;26000;Right;;;
F. Moubandje;Jacques François Moubandje;6/21/1990;34;154.94;73.9;LB,CB,LWB;Switzerland;72;2500000;19000;Left;Switzerland;SUB;3
S. Bossut;Sammy Bossut;8/11/1985;39;187.96;78.9;GK;Belgium;72;1800000;9000;Right;;;
S. Moreira;Steven Moreira;8/13/1994;30;152.4;72.1;RB,CB;France;72;3600000;16000;Right;;;
C. Terzi;Claudio Terzi;6/19/1984;40;154.94;68.9;CB;Italy;72;950000;4000;Right;;;
J. Jeanvier;Julian Jeanvier;3/31/1993;31;185.42;83.9;CB;France;72;3400000;26000;Right;;;
Martos;Francisco Javier Martos Espigares;1/4/1984;41;154.94;73.9;CB;Spain;72;950000;10000;Right;;;
F. Fontanini;Fabricio Fontanini;3/30/1990;34;154.94;79.8;CB;Argentina;72;2800000;13000;Right;;;
J. Gressel;Julian Gressel;12/16/1993;31;185.42;83.9;RM,CM,CDM,RWB;Germany;72;3900000;6000;Right;;;
M. Ducksch;Marvin Ducksch;3/7/1994;31;187.96;78.9;ST;Germany;72;4100000;20000;Right;;;
R. Vargas;Ronald Alejandro Vargas Aranguren;12/2/1986;38;175.26;69.9;CAM;Venezuela;72;2700000;4000;Right;;;
B. Acosta;Bryan Acosta;11/24/1993;31;175.26;73;CAM,CDM,RM,CM;Honduras;72;4100000;6000;Right;;;
D. Villalva;Daniel Alberto Villalba Barrios;7/6/1992;32;160.02;62.1;RW,LM,RM;Argentina;72;3400000;7000;Right;;;
P. Gallese;Pedro Gallese;2/23/1990;35;187.96;77.1;GK;Peru;72;;;Right;;;
E. Kaçe;Ergys Kaçe;7/8/1993;31;170.18;60.8;CM,CDM;Albania;72;3900000;1000;Right;;;
C. Gruezo;Carlos Armando Gruezo Arboleda;4/19/1995;29;170.18;67.1;CDM,CM;Ecuador;72;3700000;5000;Right;Ecuador;CDM;8
Y. Endo;__ __;1/28/1980;45;152.4;74.8;CM,CDM,CAM;Japan;72;975000;7000;Right;;;
M. Langerak;Mitchell Langerak;8/22/1988;36;193.04;83.9;GK;Australia;72;2100000;5000;Right;Nagoya Grampus;GK;1
Aitor Sanz;Aitor Sanz Martín;9/13/1984;40;154.94;71.2;CDM,CM,CAM;Spain;72;1300000;7000;Right;;;
L. _tetina;Luká_ _tetina;7/28/1991;33;185.42;84.8;CB;Slovakia;72;3200000;1000;Right;;;
A. Shehu;Abdullahi Shehu;3/12/1993;31;154.94;72.1;CDM,CM;Nigeria;72;3300000;12000;Right;;;
B. Bolingoli;Boli Bolingoli;7/1/1995;29;154.94;73;LB,LW;Belgium;72;3500000;11000;Left;;;
T. Kalas;Tomá_ Kalas;5/15/1993;31;182.88;79.8;CB;Czech Republic;72;3400000;26000;Right;Czech Republic;LCB;3
M. Günok;Fehmi Mert Günok;3/1/1989;36;195.58;92.1;GK;Turkey;72;2400000;14000;Right;;;
J. Forlín;Juan Daniel Forlín;1/10/1988;37;154.94;73.9;CB;Argentina;72;2300000;8000;Right;;;
Y. Ouattara;Yaya Kouassi Ouattara;2/29/1984;41;175.26;71.2;RW,CAM,LW;Ivory Coast;72;;;Left;;;
C. Fassnacht;Christian Fassnacht;11/11/1993;31;185.42;77.1;RM,LM;Switzerland;72;3900000;14000;Right;BSC Young Boys;RM;16
T. Cardona;Tomás Cardona;10/10/1995;29;185.42;76.2;CB;Argentina;72;3600000;9000;Left;;;
I. Kiese Thelin;Isaac Kiese Thelin;6/24/1992;32;187.96;82.1;ST;Sweden;72;3800000;16000;Right;Sweden;SUB;11
T. Trybull;Tom Trybull;3/9/1993;31;154.94;72.1;CDM,CM;Germany;72;3200000;18000;Right;;;
Murilo;Murilo de Souza Costa;10/31/1994;30;152.4;72.1;RM,ST;Brazil;72;4300000;9000;Left;;;
A. Adomah;Albert Danquah Adomah;12/13/1987;37;182.88;73.9;LW,LM;Ghana;72;2900000;16000;Right;;;
M. Olunga;Michael Olunga;3/26/1994;30;193.04;84.8;ST;Kenya;72;4400000;8000;Left;;;
B. Petkovi_;Bruno Petkovi_;9/16/1994;30;193.04;88;ST;Croatia;72;4200000;1000;Right;;;
D. Arias;Diego Alejandro Arias Hincapié;6/15/1985;39;170.18;64.9;CDM,CM;Colombia;72;1300000;3000;Right;;;
W. Foderingham;Wes Foderingham;1/14/1991;34;185.42;74.8;GK;England;72;2500000;26000;Left;;;
C. Pinsoglio;Carlo Pinsoglio;3/16/1990;34;193.04;84.8;GK;Italy;72;2200000;44000;Left;;;
Josué da Feira;Josué Durval da Feira Cunha;2/29/1992;33;152.4;71.2;ST;Brazil;72;3400000;11000;Right;;;
Iván López;Iván López Mendoza;8/23/1993;31;175.26;68.9;RB,RWB;Spain;72;3400000;13000;Right;;;
G. Brugman;Gaston Brugman;9/7/1992;32;175.26;66.2;CM,CDM;Uruguay;72;3700000;4000;Right;;;
A. Shabanov;Artem Shabanov;3/7/1992;33;187.96;78.9;CB,LB,CDM;Ukraine;72;3400000;1000;Right;;;
P. Rubio;Patricio Rodolfo Rubio Pulgar;4/18/1989;35;175.26;73.9;ST,LW;Chile;72;3100000;5000;Right;;;
L. Mabiala;Larrys Mabiala Destin;10/8/1987;37;187.96;79.8;CB;DR Congo;72;2300000;6000;Right;;;
A. Davies;Alphonso Davies;11/2/2000;24;154.94;72.1;LM,RM;Canada;72;6000000;20000;Left;Canada;RM;20
David Ferreiro;David Ferreiro Quiroga;4/1/1988;36;170.18;63;LM;Spain;72;2900000;17000;Right;;;
M. Castagnetti;Michele Castagnetti;12/27/1989;35;154.94;71.2;CM,CDM;Italy;72;3100000;4000;Left;;;
